fy,State_Name,Leg_Prof,Term_Limits,Party_Gov,Party_Senate,Party_House,Party_Years_Control,Party_Longevity,Population,Density_Public_Sector_Union,Density_Public_Collect_Barg,Union_Density,Density_Collect_Barg,Right_to_Work,Collective_Barg_Required,Gov_Liberalism,Revenue_Change,Per_Capita_GDP,Protection_Constitution,Protection_Contract_Statute,Protection_ContractJudicial,Protection_Property_Statute,Protection_COLA,Protection_PBI
2001,Alabama,0.067,0,1,1,1,,0,4464034,0.34,,0.10,,1,0,83.07,0.0151,33908,0,3,1,0,2,3
2002,Alabama,0.067,0,1,1,1,,0,4472420,0.30,,0.09,,1,0,83.07,-0.0531,34716,0,3,1,0,2,3
2003,Alabama,0.071,0,0,1,1,,0,4490591,0.27,,0.08,,1,0,46.10,-0.0409,35374,0,3,1,0,2,3
2004,Alabama,0.071,0,0,1,1,,0,4512190,0.26,,0.10,,1,0,46.10,0.0586,37181,0,3,1,0,2,3
2005,Alabama,0.071,0,0,1,1,,0,4545049,0.25,,0.10,,1,0,46.10,0.0623,37887,0,3,1,0,2,3
2006,Alabama,0.071,0,0,1,1,,0,4597688,0.29,,0.09,,1,0,46.10,0.0488,37911,0,3,1,0,2,3
2007,Alabama,0.071,0,0,1,1,,0,4637904,0.33,,0.10,,1,0,45.22,0.0017,37644,0,3,1,0,2,3
2008,Alabama,0.071,0,0,1,1,,0,4677464,0.30,,0.10,,1,0,45.62,-0.0238,37176,0,3,1,0,2,3
2009,Alabama,0.071,0,0,1,1,,0,4708708,0.31,,0.11,,1,0,42.33,-0.0889,35643,0,3,1,0,2,3
2010,Alabama,0.071,0,0,1,1,,0,4785161,0.29,,0.10,,1,0,41.78,-0.0087,36228,0,3,1,0,2,3
2011,Alabama,0.071,0,0,0,0,,0,4801108,0.31,,0.10,,1,0,20.54,-0.0094,36448,0,3,1,0,2,3
2012,Alabama,0.071,0,0,0,0,,0,4816089,0.30,,0.09,,1,0,19.96,0.0234,36695,0,3,2,0,2,3
2013,Alabama,0.071,0,0,0,0,,0,4830533,0.22,,0.11,,1,0,19.06,0.0060,36865,0,3,2,0,2,3
2014,Alabama,0.071,0,0,0,0,22,0,4846411,0.24,,0.11,,1,0,19.06,-0.0162,37083,0,3,2,0,2,3
2015,Alabama,0.071,0,0,0,0,,,4858979,0.27,,0.10,,1,0,,,37597,0,3,2,0,2,3
2001,Alaska,0.232,0,1,0,0,,1,633316,0.42,,0.22,,0,1,50.81,-0.0332,59329,2,0,2,0,2,1
2002,Alaska,0.232,0,1,0,0,,1,642691,0.54,,0.24,,0,1,50.81,-0.2595,60167,2,0,2,0,2,1
2003,Alaska,0.227,0,0,0,0,,1,650884,0.56,,0.22,,0,1,35.99,-0.0038,59169,2,0,2,0,2,1
2004,Alaska,0.227,0,0,0,0,,1,661569,0.55,,0.20,,0,1,35.99,0.1483,60696,2,0,2,0,2,1
2005,Alaska,0.227,0,0,0,0,,1,669488,0.53,,0.23,,0,1,35.99,0.3229,61513,2,0,2,0,2,1
2006,Alaska,0.227,0,0,0,0,,1,677325,0.55,,0.22,,0,1,35.99,0.2785,64670,2,0,2,0,2,1
2007,Alaska,0.227,0,0,0,0,,1,682297,0.53,,0.24,,0,1,35.99,0.4333,67399,2,0,2,0,2,1
2008,Alaska,0.227,0,0,0,0,,1,688125,0.56,,0.24,,0,1,39.03,1.2578,67563,2,0,2,0,2,1
2009,Alaska,0.227,0,0,1,0,,1,698473,0.52,,0.22,,0,1,42.48,-0.4399,72277,2,0,2,0,2,1
2010,Alaska,0.227,0,0,1,0,,1,714021,0.49,,0.23,,0,1,42.48,-0.1210,69682,2,0,2,0,2,1
2011,Alaska,0.227,0,0,1,0,,1,722720,0.49,,0.22,,0,1,40.47,0.1727,71233,2,0,2,0,2,1
2012,Alaska,0.227,0,0,1,0,,1,731228,0.42,,0.22,,0,1,42.48,0.2322,74289,2,0,2,0,2,1
2013,Alaska,0.227,0,0,0,0,,1,737442,0.46,,0.23,,0,1,35.44,-0.2883,69746,2,0,2,0,2,1
2014,Alaska,0.227,0,0,0,0,6,1,737046,0.51,,0.23,,0,1,35.44,-0.3491,67366,2,0,2,0,2,1
2015,Alaska,0.227,0,0,0,0,,,738432,0.46,,0.20,,0,1,,,66835,2,0,2,0,2,1
2001,Arizona,0.185,1,0,1,0,,1,5304417,0.17,,0.06,,1,0,16.74,-0.0184,39258,2,0,2,0,3,2
2002,Arizona,0.185,1,0,1,0,,1,5452108,0.19,,0.06,,1,0,16.74,-0.0247,39387,2,0,2,0,3,2
2003,Arizona,0.232,1,1,0,0,,1,5591206,0.16,,0.05,,1,0,54.48,-0.0179,40763,2,0,2,0,3,2
2004,Arizona,0.232,1,1,0,0,,1,5759425,0.17,,0.06,,1,0,54.48,0.0525,41169,2,0,2,0,3,2
2005,Arizona,0.232,1,1,0,0,,1,5974834,0.17,,0.06,,1,0,51.67,0.0696,42957,2,0,2,0,3,2
2006,Arizona,0.232,1,1,0,0,,1,6192100,0.20,,0.08,,1,0,51.67,0.1377,44018,2,0,2,0,3,2
2007,Arizona,0.232,1,1,0,0,,1,6362241,0.23,,0.09,,1,0,49.71,0.0255,44199,2,0,2,0,3,2
2008,Arizona,0.232,1,1,0,0,,1,6499377,0.19,,0.09,,1,0,49.71,-0.1358,42168,2,0,2,0,3,2
2009,Arizona,0.232,1,0,0,0,,1,6595778,0.21,,0.07,,1,0,5.46,-0.1591,38325,2,0,2,0,3,2
2010,Arizona,0.232,1,0,0,0,,1,6408208,0.25,,0.06,,1,0,5.46,-0.0631,38170,2,0,2,0,3,2
2011,Arizona,0.232,1,0,0,0,,1,6468732,0.18,,0.06,,1,0,4.11,0.0988,38442,2,0,2,0,3,2
2012,Arizona,0.232,1,0,0,0,,1,6553262,0.18,,0.05,,1,0,4.11,0.0246,38732,2,0,2,0,3,2
2013,Arizona,0.232,1,0,0,0,,1,6630799,0.15,,0.05,,1,0,4.51,0.0097,38303,2,0,2,0,3,2
2014,Arizona,0.232,1,0,0,0,8,1,6728783,0.17,,0.05,,1,0,3.02,-0.0580,38438,2,0,2,0,3,0
2015,Arizona,0.232,1,0,0,0,,,6828065,0.18,,0.05,,1,0,,,38244,2,0,2,0,3,0
2001,Arkansas,0.104,0,0,1,1,,1,2691068,0.16,,0.06,,1,0,47.31,-0.0097,31883,0,1,1,0,2,3
2002,Arkansas,0.104,0,0,1,1,,1,2704732,0.15,,0.06,,1,0,47.31,0.0162,32647,0,1,1,0,2,3
2003,Arkansas,0.106,0,0,1,1,,1,2722291,0.11,,0.05,,1,0,46.89,-0.0344,33792,0,1,1,0,2,3
2004,Arkansas,0.106,0,0,1,1,,1,2746161,0.13,,0.05,,1,0,46.89,0.0465,35021,0,1,1,0,2,3
2005,Arkansas,0.106,0,0,1,1,,1,2776221,0.12,,0.05,,1,0,46.89,0.1205,35610,0,1,1,0,2,3
2006,Arkansas,0.106,0,0,1,1,,1,2815097,0.11,,0.05,,1,0,46.89,0.0240,36161,0,1,1,0,2,3
2007,Arkansas,0.106,0,1,1,1,,1,2842194,0.11,,0.05,,1,0,74.58,0.0151,35889,0,1,1,0,2,3
2008,Arkansas,0.106,0,1,1,1,,1,2867764,0.16,,0.06,,1,0,74.58,-0.0271,35774,0,1,1,0,2,3
2009,Arkansas,0.106,0,1,1,1,,1,2889450,0.13,,0.04,,1,0,74.58,-0.0127,34554,0,1,1,0,2,3
2010,Arkansas,0.106,0,1,1,1,,1,2922394,0.10,,0.04,,1,0,74.58,-0.0128,35344,0,1,1,0,2,3
2011,Arkansas,0.106,0,1,1,1,,1,2938538,0.13,,0.04,,1,0,68.77,0.0143,35867,0,1,1,0,2,3
2012,Arkansas,0.106,0,1,1,1,,1,2949499,0.12,,0.03,,1,0,68.49,0.0169,35753,0,1,1,0,2,3
2013,Arkansas,0.106,0,1,0,0,,1,2957957,0.12,,0.04,,1,0,48.90,0.0180,36571,0,1,1,0,2,3
2014,Arkansas,0.106,0,1,0,0,32,1,2966835,0.15,,0.05,,1,0,48.90,0.0215,37252,0,1,1,0,2,3
2015,Arkansas,0.106,0,0,0,0,,,2978204,0.14,,0.05,,1,0,,,37644,0,1,1,0,2,3
2001,California,0.57,1,1,1,1,,1,34485623,0.55,,0.16,,0,1,89.25,0.0340,47786,0,2,2,0,0,3
2002,California,0.57,1,1,1,1,,1,34876194,0.55,,0.18,,0,1,89.25,-0.1635,48417,0,2,2,0,0,3
2003,California,0.626,1,1,1,1,,1,35251107,0.55,,0.17,,0,1,89.68,-0.0145,49815,0,2,2,0,0,3
2004,California,0.626,1,0,1,1,,1,35558419,0.59,,0.17,,0,1,51.75,0.0444,51424,0,2,2,0,0,3
2005,California,0.626,1,0,1,1,,1,35795255,0.57,,0.17,,0,1,50.92,0.1029,53092,0,2,2,0,0,3
2006,California,0.626,1,0,1,1,,1,35979208,0.57,,0.16,,0,1,50.92,0.0895,54508,0,2,2,0,0,3
2007,California,0.626,1,0,1,1,,1,36226122,0.56,,0.17,,0,1,50.56,-0.0041,55008,0,2,2,0,0,3
2008,California,0.626,1,0,1,1,,1,36580371,0.57,,0.18,,0,1,50.16,-0.0238,54713,0,2,2,0,0,3
2009,California,0.626,1,0,1,1,,1,36961664,0.53,,0.17,,0,1,49.84,-0.1448,51775,0,2,2,0,0,3
2010,California,0.626,1,0,1,1,,1,37334079,0.53,,0.18,,0,1,49.84,0.0335,51733,0,2,2,0,0,3
2011,California,0.626,1,1,1,1,,1,37700034,0.54,,0.17,,0,1,89.41,0.0673,51936,0,2,2,0,0,3
2012,California,0.626,1,1,1,1,,1,38056055,0.53,,0.17,,0,1,89.41,-0.0623,52660,0,2,2,0,0,3
2013,California,0.626,1,1,1,1,,1,38414128,0.53,,0.16,,0,1,87.43,0.1289,53487,0,2,2,0,0,3
2014,California,0.626,1,1,1,1,35,1,38792291,0.56,,0.16,,0,1,87.43,0.0103,54606,0,2,2,0,0,3
2015,California,0.626,1,1,1,1,,,39144818,0.52,,0.16,,0,1,,,56365,0,2,2,0,0,3
2001,Colorado,0.172,1,0,1,0,,0,4433068,0.17,,0.09,,0,0,21.16,0.0163,50247,0,1,0,0,2,2
2002,Colorado,0.172,1,0,1,0,,0,4504265,0.20,,0.08,,0,0,19.93,-0.1125,49809,0,1,0,0,2,2
2003,Colorado,0.202,1,0,0,0,,0,4548775,0.22,,0.08,,0,0,16.71,-0.0704,49838,0,1,0,0,2,2
2004,Colorado,0.202,1,0,0,0,,0,4599681,0.24,,0.08,,0,0,16.71,0.0241,50234,0,1,0,0,2,2
2005,Colorado,0.202,1,0,1,1,,0,4660780,0.26,,0.08,,0,0,29.30,0.0363,51847,0,1,0,0,2,2
2006,Colorado,0.202,1,0,1,1,,0,4753044,0.22,,0.08,,0,0,29.30,0.0601,51736,0,1,0,0,2,2
2007,Colorado,0.202,1,1,1,1,,0,4842259,0.21,,0.09,,0,0,38.54,0.0322,51895,0,1,0,0,2,2
2008,Colorado,0.202,1,1,1,1,,0,4935213,0.22,,0.08,,0,0,78.13,-0.0114,51726,0,1,0,0,2,2
2009,Colorado,0.202,1,1,1,1,,0,5024748,0.24,,0.07,,0,0,78.69,-0.1099,50296,0,1,0,0,2,2
