ppd_id,PlanName,fy,Asset_Cumulative,Risky_to_Safe_Asset_Ratio,Risky_Total_Asset_Ratio,Board_Size,Board_Appointed,Board_Ex_Officio,Board_Elected,Board_Plan_Participants,Board_Ratio_Participants_Total,Board_Ratio_Participants_Elected_Total,Board_Exofficio_Only,Board_Appointed_Only,Active_Total_Member_Ratio,Beneficiary_Member_Ratio,Beneficiary_Taxpayer_Ratio
1,Alabama ERS,2001,1.0000,1.0691,0.5167,13,3,4,6,9,0.6923,0.4615,0,0,0.6976,0.2353,0.0061
1,Alabama ERS,2002,1.0000,1.1422,0.5332,13,3,4,6,9,0.6923,0.4615,0,0,0.6861,0.2391,0.0064
1,Alabama ERS,2003,1.0000,1.5753,0.6117,13,3,4,6,9,0.6923,0.4615,0,0,0.6829,0.2483,0.0067
1,Alabama ERS,2004,1.0000,1.8177,0.6451,13,3,4,6,9,0.6923,0.4615,0,0,0.6649,0.2573,0.0070
1,Alabama ERS,2005,1.0000,1.8843,0.6533,13,3,4,6,9,0.6923,0.4615,0,0,0.6571,0.2639,0.0073
1,Alabama ERS,2006,1.0000,2.3422,0.7008,13,3,4,6,9,0.6923,0.4615,0,0,0.6529,0.2666,0.0075
1,Alabama ERS,2007,1.0000,2.5613,0.7192,13,3,4,6,9,0.6923,0.4615,0,0,0.6499,0.2689,0.0077
1,Alabama ERS,2008,1.0000,2.2595,0.6932,13,3,4,6,9,0.6923,0.4615,0,0,0.6446,0.2719,0.0079
1,Alabama ERS,2009,1.0000,2.0979,0.6772,13,3,4,6,9,0.6923,0.4615,0,0,0.6343,0.2807,0.0082
1,Alabama ERS,2010,1.0000,2.3580,0.7022,13,3,4,6,9,0.6923,0.4615,0,0,0.6274,0.2897,0.0084
1,Alabama ERS,2011,1.0000,2.1008,0.6775,13,3,4,6,9,0.6923,0.4615,0,0,0.6210,0.3031,0.0087
1,Alabama ERS,2012,1.0000,2.2680,0.6940,13,3,4,6,9,0.6923,0.4615,0,0,0.6107,0.3127,0.0089
1,Alabama ERS,2013,1.0000,2.7566,0.7338,13,3,4,6,9,0.6923,0.4615,0,0,0.5404,0.2842,0.0091
1,Alabama ERS,2014,1.0000,2.9246,0.7452,13,3,4,6,9,0.6923,0.4615,0,0,0.5369,0.2870,0.0093
1,Alabama ERS,2015,1.0000,2.9170,0.7447,13,3,4,6,9,0.6923,0.4615,0,0,,,0.0000
2,Alabama Teachers,2001,1.0000,0.9146,0.4777,14,0,4,10,10,0.7143,0.7143,0,0,0.6694,0.2514,0.0109
2,Alabama Teachers,2002,1.0000,0.9414,0.4849,14,0,4,10,10,0.7143,0.7143,0,0,0.6504,0.2642,0.0117
2,Alabama Teachers,2003,1.0000,1.4295,0.5884,14,0,4,10,10,0.7143,0.7143,0,0,0.6413,0.2784,0.0125
2,Alabama Teachers,2004,1.0000,1.8050,0.6435,14,0,4,10,10,0.7143,0.7143,0,0,0.6358,0.2939,0.0135
2,Alabama Teachers,2005,1.0000,1.9958,0.6662,14,0,4,10,10,0.7143,0.7143,0,0,0.6314,0.3007,0.0142
2,Alabama Teachers,2006,1.0000,2.3490,0.7014,14,0,4,10,10,0.7143,0.7143,0,0,0.6236,0.3004,0.0145
2,Alabama Teachers,2007,1.0000,2.5689,0.7198,14,0,4,10,10,0.7143,0.7143,0,0,0.6207,0.3055,0.0150
2,Alabama Teachers,2008,1.0000,2.1328,0.6808,14,0,4,10,10,0.7143,0.7143,0,0,0.6142,0.3129,0.0154
2,Alabama Teachers,2009,1.0000,2.1260,0.6801,14,0,4,10,10,0.7143,0.7143,0,0,0.6002,0.3247,0.0158
2,Alabama Teachers,2010,1.0000,2.4602,0.7110,14,0,4,10,10,0.7143,0.7143,0,0,0.5827,0.3311,0.0162
2,Alabama Teachers,2011,1.0000,2.2446,0.6918,14,0,4,10,10,0.7143,0.7143,0,0,0.5813,0.3436,0.0167
